cycle,req_valid,req_ready,req_accept,req_kv_head,req_position,req_dim,rsp_valid,rsp_ready,rsp_accept,rsp_data,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_raw,score_scaled,score_last,k_request_count,k_response_count,score_count
112,1,1,1,0,0,21,0,0,0,0x000ec9,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,21,21,0
113,0,0,0,0,0,21,0,1,0,0x000ec9,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,22,21,0
114,0,0,0,0,0,21,0,1,0,0x000ec9,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,22,21,0
115,0,0,0,0,0,21,1,1,1,0xfff37e,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,22,21,0
116,1,1,1,0,0,22,0,0,0,0xfff37e,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,22,22,0
117,0,0,0,0,0,22,0,1,0,0xfff37e,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,23,22,0
118,0,0,0,0,0,22,0,1,0,0xfff37e,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,23,22,0
119,0,0,0,0,0,22,1,1,1,0xfffd11,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,23,22,0
120,1,1,1,0,0,23,0,0,0,0xfffd11,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,23,23,0
121,0,0,0,0,0,23,0,1,0,0xfffd11,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,24,23,0
122,0,0,0,0,0,23,0,1,0,0xfffd11,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,24,23,0
123,0,0,0,0,0,23,1,1,1,0xfffd8d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,24,23,0
124,1,1,1,0,0,24,0,0,0,0xfffd8d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,24,24,0
125,0,0,0,0,0,24,0,1,0,0xfffd8d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,25,24,0
126,0,0,0,0,0,24,0,1,0,0xfffd8d,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,25,24,0
127,0,0,0,0,0,24,1,1,1,0xffa12f,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,25,24,0
128,1,0,0,0,0,25,0,0,0,0xffa12f,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,25,25,0
129,1,0,0,0,0,25,0,0,0,0xffa12f,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,25,25,0
130,1,1,1,0,0,25,0,0,0,0xffa12f,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,25,25,0
131,0,0,0,0,0,25,0,1,0,0xffa12f,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,26,25,0
132,0,0,0,0,0,25,0,1,0,0xffa12f,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,26,25,0
133,0,0,0,0,0,25,0,1,0,0xffa12f,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,26,25,0
134,0,0,0,0,0,25,1,1,1,0xffef54,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,26,25,0
135,1,1,1,0,0,26,0,0,0,0xffef54,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,26,26,0
136,0,0,0,0,0,26,0,1,0,0xffef54,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,27,26,0
137,0,0,0,0,0,26,0,1,0,0xffef54,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,27,26,0
138,0,0,0,0,0,26,1,1,1,0x000a16,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,27,26,0
139,1,1,1,0,0,27,0,0,0,0x000a16,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,27,27,0
140,0,0,0,0,0,27,0,1,0,0x000a16,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,28,27,0
141,0,0,0,0,0,27,0,1,0,0x000a16,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,28,27,0
142,0,0,0,0,0,27,1,1,1,0x004565,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,28,27,0
143,1,1,1,0,0,28,0,0,0,0x004565,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,28,28,0
144,0,0,0,0,0,28,0,1,0,0x004565,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,29,28,0
145,0,0,0,0,0,28,0,1,0,0x004565,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,29,28,0
146,0,0,0,0,0,28,1,1,1,0x000c32,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,29,28,0
